channel,yt_link,downloaded_video_path,aws_link,likes,no_of_comments,title
SHUBHAM SAHU,https://www.youtube.com/watch?v=H_Jsz2RxFz0,G:/videos/shubhamsahu/video1.mp4,https://videos-bucket-50.s3.ap-south-1.amazonaws.com/shubhamsahu/video1.mp4,11,1 Comment,CT scan me corona kaise dekhte he
SHUBHAM SAHU,https://www.youtube.com/watch?v=Si6xhJM1igI,G:/videos/shubhamsahu/video2.mp4,https://videos-bucket-50.s3.ap-south-1.amazonaws.com/shubhamsahu/video2.mp4,57,44 Comments,CT Scan kaise hota he side effect
